#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
r$dGcnz{,m	適度	適[てき] 度[ど]	moderate		0022 0119
h[;H}f}EHa	適当	適[てき] 当[とう]	suitable		0119
zJpsgXh,V$	てきぱき	てきぱき	efficiently		0142
qr!E}f_)Tb	できるだけ	できるだけ	as many [much] as possible		0055
wwf|o*Hs7g	テクニック	テクニック	technique		0078
w{Jj=j1ly5	手品師	手[て] 品[じな] 師[し]	magician		0172
tbdp!W!tu[	手数料	手[て] 数[すう] 料[りょう]	service charge		0172
yyOjDEl1[C	でたらめ	でたらめ	nonsense	反.  正[せい] 確[かく]<br>accurate	0046 0112
Dxcj}olfJx	哲学	哲[てつ] 学[がく]	philosophy		0038
qX)4CE1LKJ	手続き	手[て] 続[つづ]き	procedure		0054
"n[]>=yi#;L"	鉄道	鉄[てつ] 道[どう]	railroad [railway]		0030
Dp6`Ev:^%e	徹夜	徹[てつ] 夜[や]	staying [sitting] up all night		0022
dG|<0;~dWQ	手につかない	手[て]につかない	can't focus [concentrate] on		0149
xvx2gIs{;W	手間	手[て] 間[ま]	time and effort		0074
"Do_x#au@x^"	テクノロジー	テクノロジー	technology		0074
CMK1]bO@F	出迎える	出[で] 迎[むか]える	to meet, to greet	反.  見[み] 送[おく]る<br>to see off	0030
K&s:UEx=]l	手を貸す	手[て]を 貸[か]す	to lend a hand		0149
I;m39:~~m&	手を借りる	手[て]を 借[か]りる	to accept help		0149
de&Y&J{_V7	手を組む	手[て]を 組[く]む	to join hands [forces]		0149
"s~b~fIh#;d"	手を出す	手[て]を 出[だ]す	to have a finger in, to start a fight		0149
d/-I1{9^M]	手をつける	手[て]をつける	to set one's hand to, to start work on		0149
j<X~GjFN8E	電機メーカー	電[でん] 機[き]メーカー	electrical manufacturer		0063
"DyeOXHP#+r"	転居	転[てん] 居[きょ]	moving, change of address		0113
QE!XP+>>j{	点検	点[てん] 検[けん]	inspection		0074
"OYce#U0iEi"	転校	転[てん] 校[こう]	changing schools		0038
E1>0ga9>Z{	天国	天[てん] 国[ごく]	heaven	反.  地[じ] 獄[ごく]<br>hell	0054
k&!G-i?,6(	伝言	伝[でん] 言[ごん]	(verbal) message		0112
PvOXBode$r	転じる	転[てん]じる	turn ～ to		0062
g8KA-sq[c?	伝染	伝[でん] 染[せん]	infection		0022
AnHf+;>hQh	伝統的	伝[でん] 統[とう] 的[てき]	traditional		0054 0055
5;~e.|F)!	天然	天[てん] 然[ねん]	natural		0014
Fc4g!fk[_I	天然ガス	天[てん] 然[ねん]ガス	natural gas		0062
z@OH{dw<RN	天然資源	天[てん] 然[ねん] 資[し] 源[げん]	natural resources		0063
Ql%Zg_jZ$c	天皇	天[てん] 皇[のう]	emperor		0066
d4_)fPFAJ.	天皇制	天[てん] 皇[のう] 制[せい]	emperor system of Japan		0173
A0J_v`0haO	添付	添[てん] 付[ぷ]	attachment		0050
p:cGl5$DQ;	電力	電[でん] 力[りょく]	electric power		0062
x$%A!P[^EY	～度	～ 度[ど]	～ degree		0078 0173
ERYk*Pm;hv	問い	問[と]い	inquiry		0038
fzu[o{AYrp	問いかける	問[と]いかける	to inquire		0160
CH+2nTu8Gg	～頭	～ 頭[とう]	～ head (of cattle)		0070
i[1[7;G.cW	同～	同[どう]～	same ～		0167
jmdQ{r)&r(	答案	答[とう] 案[あん]	answer sheet [paper]		0038
p>~2uj@)]R	統一	統[とう] 一[いつ]	unification		0066
mw&BQ}k>@g	同業者	同[どう] 業[ぎょう] 者[しゃ]	person in the same trade		0167
CeuMx<ECu9	東京発	東[とう] 京[きょう] 発[はつ]	departing Tokyo		0030 0031
jqZZi1!5^t	東京方面	東[とう] 京[きょう] 方[ほう] 面[めん]	Tokyo area		0083
bXl)y&Ed)-	投資	投[とう] 資[し]	investment		0062
v.lI[lTE}/	どうせ	どうせ	anyway, at any rate		0067 0137
opE4EWv}z|	同世代	同[どう] 世[せ] 代[だい]	same generation		0167
qNXQy4`Vy`	到着	到[とう] 着[ちゃく]	arrival	反.  出[しゅっ] 発[ぱつ]<br>departure	0030
l]woz6r-KQ	同程度	同[どう] 程[てい] 度[ど]	same level		0167
"H@[T>3D$d#"	とうとう	とうとう	finally		0136
N</&DIqeJ%	道徳	道[どう] 徳[とく]	moral		0010
d*x;OUP*b3	道徳的	道[どう] 徳[とく] 的[てき]	moral, ethical		0011
LA{pV6~,Ju	盗難	盗[とう] 難[なん]	theft, robbery, burglary		0058
bbz{Op{rfn	導入	導[どう] 入[にゅう]	introduce		0074
mP^b,.(?nQ	投票	投[とう] 票[ひょう]	voting		0066
e%aV6wH%P|	当分	当[とう] 分[ぶん]	for the time being		0023 0125
DWuvQsUj!&	どうも	どうも	for some reason		0131
gXAqgmfwTu	同僚	同[どう] 僚[りょう]	colleague		0054
cVI*+Fu~Y8	登録証	登[とう] 録[ろく] 証[しょう]	registration card		0173
"d#+yh}D|zZ"	登録済み	登[とう] 録[ろく] 済[ず]み	registered		0161
o.pMtcF>u=	通り～	通[とお]り～	pass ～		0161
o%$BG6Sd(V	通りかかる	通[とお]りかかる	to happen to pass by		0161
"M%-sjp;#j;"	通り過ぎる	通[とお]り 過[す]ぎる	to pass over [by]		0161
biiu7kR*N:	溶かす	溶[と]かす	to melt		0018
CHt?RyQQ`3	とかす	とかす	to comb, to brush		0022
wo(D7sDNr!	時折	時[とき] 折[おり]	every now and then		0125
fe}YrWaVb$	どきどき	どきどき	pounding		0006
z9>^8ZeN]z	解く	解[と]く	to clear up, to unfasten, to solve		0010 0094
KUGG69jP>q	溶く	溶[と]く	to dissolve		0018 0094
I<Qcfo82o=	とく	とく	to comb, to brush		0022
emYehk|8fu	得意先	得[とく] 意[い] 先[さき]	good customer		0063
t(u[x%o83[	読書	読[どく] 書[しょ]	reading		0026
t%/b03avNb	独身	独[どく] 身[しん]	single		0054
LeX+5I_j9m	独身者	独[どく] 身[しん] 者[しゃ]	single person		0055
zc7s?/a20>	独立	独[どく] 立[りつ]	independence		0066
CT.-BbpM-{	独立心	独[どく] 立[りつ] 心[しん]	independent spirit		0173
lQ<x%1J`Cx	解ける	解[と]ける	to be cleared up		0010
2sJ|Zt(lF	溶ける	溶[と]ける	to melt		0018
"y%Ek=vV#bv"	どける	どける	to move		0018
"c#R0niM}Bp"	所々	所[ところ] 々[どころ]	here and there		0083
k|fh4S,d=7	年上	年[とし] 上[うえ]	older	反.  年[とし] 下[した]<br>younger	0002
HG.I,*3bN2	年下	年[とし] 下[した]	younger	反.  年[とし] 上[うえ]<br>older	0002
qL9N8cPFT(	土砂崩れ	土[ど] 砂[しゃ] 崩[くず]れ	landslide		0058 0059
"H(7Gc-#|6K"	都心	都[と] 心[しん]	centre of a city		0030
zp/65`Si}Q	都心方面	都[と] 心[しん] 方[ほう] 面[めん]	downtown area		0083
k`gWyE+=?6	とっくに	とっくに	already		0106
nJVu^i+]jy	どっさり	どっさり	lots of		0142
e,-9JeYw5T	突如	突[とつ] 如[じょ]	suddenly		0137
y}ai/R7l6$	とても	とても	(can't) possibly		0130
Q~vPNu].tM	～届	～ 届[とどけ]	～ notification [registration]		0173
gpyXp6P1O>	怒鳴る	怒[ど] 鳴[な]る	to yell		0010
"o{KKAWXL#."	飛び込む	飛[と]び 込[こ]む	to jump [dive] in		0059 0160
ERt6wfI,@A	飛び出す	飛[と]び 出[だ]す	to run [rush] out		0058 0059 0160
mE9TQU925_	飛び回る	飛[と]び 回[まわ]る	to fly around		0160
BMgy}4*|7)	乏しい	乏[とぼ]しい	scarce, poor		0078
g-S5P}L1eW	捕らえる	捕[と]らえる	to capture		0094
J9;X-@Sm=[	とらえる	とらえる	to capture, to seize		0094
tSV3M&ZK>/	ドラマ	ドラマ	drama		0046
p{(U&)w1!w	取り～	取[と]り～	(emphatic prefix indicating an action is done thoroughly or with care)		0003 0059 0071 0161
m{:}r8UT=c	とりあえず	とりあえず	for now, for the time being		0106 0136
ia4/7LjG7U	取り上げる	取[と]り 上[あ]げる	to take up		0035 0161
d/(BUxV[Vs	取り入れる	取[と]り 入[い]れる	to take in		0071 0161
gf%AK5%yv6	取り押さえる	取[と]り 押[お]さえる	to apprehend, to arrest		0059
N~)L4orPVU	取り替える	取[と]り 替[か]える	to replace		0003 0161
wjrp!+VI~B	取り組み	取[と]り 組[く]み	tackling		0066
IDuC<v7$Tp	取り組む	取[と]り 組[く]む	to tackle, to grapple with		0066
p`ARb$Gb9b	取り消す	取[と]り 消[け]す	to cancel		0002 0003 0161
ytEP?sbp%4	取り締まる	取[と]り 締[し]まる	to crack down, to control		0058 0059
CUT|%*j-/x	取り出す	取[と]り 出[だ]す	to take out		0003 0161
d2(,R!(iBO	取引	取[とり] 引[ひき]	transaction		0062
f1jm6tR$~?	取引先	取[とり] 引[ひき] 先[さき]	customer, business acquaintance		0062 0063
wU&V&1>q?[	トレーニング	トレーニング	training		0026 0112
"K2doqA#^0["	とれたて	とれたて	fresh		0161
GP{P)U-BIg	泥	泥[どろ]	mud		0034
K$1w?H_)O2	トン	トン	tonne		0078
cu39GM-cs.	内科	内[ない] 科[か]	internal medicine		0022
h|tE:/vDFn	内閣総理大臣	内[ない] 閣[かく] 総[そう] 理[り] 大[だい] 臣[じん]	prime minister		0066 0067
cN>HduCY1/	内容	内[ない] 容[よう]	content		0046
"EOrh#Z/wN|"	なお	なお	even, further		0124
bxK};TkY>{	なおさら	なおさら	still more		0124
IVa]t-OoA!	～直す	～ 直[なお]す	re-, ～again better		0160
"N?99#><#2c"	名が売れる	名[な]が 売[う]れる	to be famous		0155
KGN_oT!k@@	流す	流[なが]す	to broadcast		0046
"n9H#wxgEAm"	中でも	中[なか]でも	most especially		0031 0137
i|(Y?*%7Ni	仲直り	仲[なか] 直[なお]り	reconciliation, making up with		0010
AIAjp&e|yN	なかなか	なかなか	(not) easily, hardly		0055 0124 0130
Jw<Bd,)~5n	長年	長[なが] 年[ねん]	many years		0003 0125
Q0+&x*,`C^	半ば	半[なか]ば	halfway, the middle		0137
BPM^`<9%H[	～仲間	～ 仲[なか] 間[ま]	～ friend [companion]		0003
JFzdJ5dF_8	眺め	眺[なが]め	view		0034 0112
Bu=06;vXDL	眺める	眺[なが]める	to gaze		0034
x)oicC*Dej	長持ち	長[なが] 持[も]ち	long lasting		0074
weU{SRrt:V	仲良し	仲[なか] 良[よ]し	good friend		0002
zxY)wWlh,i	流れる	流[なが]れる	to broadcast		0046
"cNI&![!#SD"	泣き出す	泣[な]き 出[だ]す	to start crying		0160
hY%;ZodjjK	慰める	慰[なぐさ]める	to cheer up		0010
x@E2*$TIRD	嘆く	嘆[なげ]く	to grieve about		0054
l~FA2|xWZD	なだらか	なだらか	gently sloping		0034
g803o)$gsj	懐かしい	懐[なつ]かしい	nostalgic, fondly remembered		0002
c{mX`ju~W6	なでる	なでる	to stroke, to pat		0018
"i`;OC=#$/<"	何しろ	何[なに]しろ	you know, in any case		0118
oUcp[h!Coo	何より	何[なに]より	more than anything		0124
jZt/zkb}Gr	生～	生[なま]～	live ～		0167
dNurf.WVct	生意気	生[なま] 意[い] 気[き]	cheeky	反.  謙[けん] 虚[きょ]<br>modest	0006
G6kgIhFRQ@	生演奏	生[なま] 演[えん] 奏[そう]	live performance		0167
Lgo?D.HGJh	怠ける	怠[なま]ける	to be lazy, to neglect	反.  励[はげ]む<br>to encourage	0042 0113
s,9jX?$WV}	生出演	生[なま] 出[しゅつ] 演[えん]	live appearance		0167
elTQ!xgSzy	波	波[なみ]	wave		0101
Nbtvw!})fC	並ぶ	並[なら]ぶ	to be in a line		0083
BZQ,S5zHbM	何だか	何[なん]だか	somehow		0118
mW;HtpEt{>	なんと	なんと	how, what		0063
hvpm.%Q|2%	何とか	何[なん]とか	somehow		0031 0118
j*qrE%NJ9~	何となく	何[なん]となく	for some reason or other		0118
x;r4zV,qH:	何とも	何[なん]とも	(not) anything		0118
d({^R@pq.,	ニーズ	ニーズ	needs		0074
i]6HdeB[^2	煮える	煮[に]える	to boil		0018
"zve#vuNQ#O"	苦手	苦[にが] 手[て]	weak [poor] at ～	反.  好[この]み<br>liking, taste	0014
I;*IyIFq&r	苦み	苦[にが]み	bitterness		0179
EVd<Kl2vEI	握る	握[にぎ]る	to seize		0066 0094
x>4edFl{xa	憎い	憎[にく]い	hateful		0010
e]R>Ut$(Ea	憎らしい	憎[にく]らしい	detestable		0010 0011
hhUipIe@?R	逃げ出す	逃[に]げ 出[だ]す	to run away		0160
G+e5rjGynd	逃げ回る	逃[に]げ 回[まわ]る	to squirm one's way out of, to run this way and that		0160
"H9ffb7d#9,"	にこにこ	にこにこ	beaming, all smiles		0006
KyY-p(.-vS	二酸化炭素	二[に] 酸[さん] 化[か] 炭[たん] 素[そ]	carbon dioxide		0070
"caIagkqG#)"	日中	日[にっ] 中[ちゅう]	daytime		0082
eP10P_JJL1	日程	日[にっ] 程[てい]	schedule		0030
kMmVkCwjFS	二泊三日	二[に] 泊[はく] 三[みっ] 日[か]	two nights and three days		0030
"x#~TA4g/07"	鈍い	鈍[にぶ]い	blunt, thick-headed, dull	反.  鋭[するど]い<br>sharp, acute	0006 0101
"hx#Wabu=sy"	日本産	日本[にほん] 産[さん]	made in Japan		0014 0015
k^s!!!=yz3	日本列島	日本[にほん] 列[れっ] 島[とう]	Japanese archipelago		0034
K61>;5xBlM	二メートルおき	二メートルおき	every two metres		0161
CIwSka`^h8	にやにや	にやにや	grinning		0143
vtD[:^<)&Y	入社	入[にゅう] 社[しゃ]	joining a company		0042
em/J_kC)pi	入手	入[にゅう] 手[しゅ]	obtainment		0046
"f8tX#@Ezm%"	にらむ	にらむ	to glare [stare] at		0010 0094
JN~r8RtG,X	煮る	煮[に]る	to boil		0018
r-%ZTaUM>c	にわかに	にわかに	suddenly		0106
Fnu-i<y6QL	鶏	鶏[にわとり]	chicken		0070
D</~f8e[c^	人気	人[にん] 気[き]	popular		0046
v4/]~Rc_QY	憎む	憎[にく]む	to hate		0010 0178
z_pNZ-rdGA	縫う	縫[ぬ]う	to sew		0018
oE@U3CLEFr	抜き出す	抜[ぬ]き 出[だ]す	to pull out		0160
bqm`[[;<TZ	抜ける	抜[ぬ]ける	to fall out		0022
"HKH#nJ-i;R"	値～	値[ね]～	price		0063
zFwDZwS2XS	値上がり	値[ね] 上[あ]がり	rise in prices	反.  値[ね] 下[さ]がり<br>decrease in prices	0062 0063
xw5x8dX/bV	値上げ	値[ね] 上[あ]げ	price increase		0063
jb2q^.G6~y	願う	願[ねが]う	to hope		0054
j3dw:T%3uV	値下がり	値[ね] 下[さ]がり	decrease in prices	反.  値[ね] 上[あ]がり<br>rise in prices	0062
o&.o&{;iKs	ねじる	ねじる	to twist		0022
buehSs@.SM	熱する	熱[ねっ]する	to heat		0018
zS!F!B=MoW	熱中	熱[ねっ] 中[ちゅう]	passionate, enthusiastic	反.  怠[なま]け<br>laziness	0042
mSEyH-(.$1	寝不足	寝[ね] 不[ぶ] 足[そく]	lack of sleep		0023
"kH=%}|#k#J"	眠り込む	眠[ねむ]り 込[こ]む	to fall asleep		0160
u(,MufV1am	眠る	眠[ねむ]る	to sleep		0054
lO9{%mAytz	ねらう	ねらう	to target		0058
eiNms&K|@C	年賀状	年[ねん] 賀[が] 状[じょう]	New Year's card		0173
A,~QZlCEb5	年月	年[ねん] 月[げつ]	years		0074
KL,0B?I;EQ	年中	年[ねん] 中[じゅう]	all year round		0106
zF4okgO?MF	年代別	年[ねん] 代[だい] 別[べつ]	by age		0173
mrpj]Sh<u*	～年度	～ 年[ねん] 度[ど]	～ financial [fiscal] year		0067
k$?Mrk)k<m	農業	農[のう] 業[ぎょう]	agriculture		0062
IVWaBa9_6k	農作業	農[のう] 作[さ] 業[ぎょう]	farm work		0062
f@Z_d,Cw_3	農水相	農[のう] 水[すい] 相[しょう]	Minister for Agriculture, Forestry and Fisheries		0067
y53KoSEJ*+	納税	納[のう] 税[ぜい]	tax payment		0062
PLxTbkXi7Z	能率	能[のう] 率[りつ]	efficiency		0042
"oe@.OAR#a%"	ノーベル賞	ノーベル 賞[しょう]	Nobel Prize		0074
e]1O0:!Rvb	逃す	逃[のが]す	to miss		0082
rsOp:mv]>J	ののしる	ののしる	to curse		0010
ih@r)mMm25	伸ばす	伸[の]ばす	to smooth out		0018
hI[Dj$;/!q	のびのび	のびのび	free and easily		0055 0143
n`~Aln{;cJ	上り電車	上[のぼ]り 電[でん] 車[しゃ]	uptown train		0030
jWFm&zfa]$	乗り～	乗[の]り～	ride [over] ～		0161
t~2|I<qe:q	乗り遅れる	乗[の]り 遅[おく]れる	to miss		0161
Q*hYP^{n$|	乗り越える	乗[の]り 越[こ]える	to overcome		0161
G5O]O6Bh<J	乗り越す	乗[の]り 越[こ]す	to go beyond one's stop		0161
i..IADQ(T)	乗り込む	乗[の]り 込[こ]む	to board		0160
P+b5e=4l<v	のろのろ	のろのろ	sluggishly, slowly		0143
g:6rsIc$.r	のん気	のん 気[き]	carefree		0006
jdc[;UY<<8	のんびり	のんびり	laid-back		0006 0143
wMUDwQnsr&	排出量	排[はい] 出[しゅつ] 量[りょう]	emission amount		0070 0071
s6{~/>Z%*(	配置	配[はい] 置[ち]	layout		0083
B6M^skZE(;	売店	売[ばい] 店[てん]	stand, kiosk		0030
P)u75hIy4`	はう	はう	to crawl		0022
c-A=20vbkP	墓	墓[はか]	grave		0054
q=6A3~gepK	～破壊	～ 破[は] 壊[かい]	～ destruction		0071
"prEB[%,ZV#"	墓参り	墓[はか] 参[まい]り	visit to a grave		0054
pB|r3,IQ]2	吐き気	吐[は]き 気[け]	nausea		0014
c!.@:vPZLe	はきはき	はきはき	frankly, clearly		0006 0143
g!rT[l5%,T	吐く	吐[は]く	to vomit		0014
AqigxZupfE	掃く	掃[は]く	to sweep		0018
"DaK#OZWTWg"	破産	破[は] 産[さん]	bankruptcy		0042
c2I3NGXdF9	走り回る	走[はし]り 回[まわ]る	to run around		0160
lGKD4/|.$T	恥ずかしがり	恥[は]ずかしがり	shy		0107
FxVRq;Z{JF	パスポート	パスポート	passport		0030
wzXK]I~lFY	肌	肌[はだ]	skin		0022
?Rel2@O&v	畑	畑[はたけ]	field		0062
vYg2hb6|Qe	果たして	果[は]たして	sure enough, as expected		0131
Eb$?L>D]8f	果たす	果[は]たす	to carry out		0054
e11gb0A5XJ	初～	初[はつ]～	first ～		0035 0167
bTg9G|XT2o	～発	～ 発[はつ]	departing from ～		0031
l@dlX*~qeb	発芽	発[はつ] 芽[が]	germination		0070
"j~n#]j~-vD"	～パック	～パック	～ carton [pack]		0071
P/}u@Ug/b%	発見	発[はっ] 見[けん]	discovery		0066
E!Qq8:}s^4	発行	発[はっ] 行[こう]	issue		0046
K[3:5sAS]Z	初公開	初[はつ] 公[こう] 開[かい]	first public exhibition		0167
JV@x<$;)R^	初霜	初[はつ] 霜[しも]	first frost		0034 0035
H0|mS&5oZb	発車	発[はっ] 車[しゃ]	departure	反.  停[てい] 車[しゃ]<br>stopping	0030
p/X)D{%lq.	初出場	初[はつ] 出[しゅつ] 場[じょう]	first appearance		0035 0167
Cd&_M@m9zq	発生	発[はっ] 生[せい]	occurrence		0058
taunLK;70+	発想	発[はっ] 想[そう]	idea		0074
L0t7_B>O-M	発達	発[はっ] 達[たつ]	development		0074
OP}$T_7YiN	発展	発[はっ] 展[てん]	development		0066
^K5D47;Mz	発電所	発[はつ] 電[でん] 所[しょ]	power plant		0062 0172
"4et_k9}#}"	初舞台	初[はつ] 舞[ぶ] 台[たい]	premiere		0167
N<ut|_Ag5w	発明	発[はつ] 明[めい]	invention		0074
r,jxHSZ!m]	初優勝	初[はつ] 優[ゆう] 勝[しょう]	first victory		0035 0167
w.loQVJ<Q:	初雪	初[はつ] 雪[ゆき]	first snow		0034 0035
N:E<Ga2jJj	派手	派[は] 手[で]	colourful, showy	反.  地[じ] 味[み]<br>plain	0006
"w#~LO.@`?I"	話し合い	話[はな]し 合[あ]い	discussion		0003
B}[~r0),<x	話し合う	話[はな]し 合[あ]う	to discuss		0160
I.]P24!unA	話しかける	話[はな]しかける	to talk		0160
ls}?a`h[cU	話し込む	話[はな]し 込[こ]む	to be deep in talk		0160
h*Q1e&yKtG	話し出す	話[はな]し 出[だ]す	to begin talking		0160
"qaXwk`qc#h"	話しぶり	話[はな]しぶり	one's way of talking		0161
Nj!}HeG]m0	鼻が高い	鼻[はな]が 高[たか]い	proud		0149
xM?*B%lZ}y	鼻で笑う	鼻[はな]で 笑[わら]う	to laugh scornfully		0149
gz;n@.Qg/]	花婿	花[はな] 婿[むこ]	bridegroom		0054
E;j<`$BVc.	華やか	華[はな]やか	gorgeous		0054
M2@rX9y(C,	花嫁	花[はな] 嫁[よめ]	bride		0054
N1j((0s4O7	跳ねる	跳[は]ねる	to jump, to bounce		0094
FvP8|}G~|t	はねる	はねる	to splatter		0094
v4n%[C6E<;	幅	幅[はば]	width		0078 0101
ich%cyv:~o	母親	母[はは] 親[おや]	mother		0054
h)lyml%Q.r	はまる	はまる	to fit into, to be caught		0094
twWXh/RZn&	早まる	早[はや]まる	to move forward, to hasten (vi.)		0178
toP|fsOB^k	速まる	速[はや]まる	to quicken (vi.)		0178
c(8VtmaYkQ	早める	早[はや]める	to move forward (vt.)		0178
roY24Ft-vd	速める	速[はや]める	to quicken (vt.)		0178
m70V+=,Psn	払い込む	払[はら]い 込[こ]む	to pay		0055
n.w@z@Sf9~	腹が決まる	腹[はら]が 決[き]まる	to make up one's mind		0154
pTy3hwlx!_	腹が立つ	腹[はら]が 立[た]つ	to get angry		0113 0154
J2$Ei_:qwQ	腹を決める	腹[はら]を 決[き]める	to make up one's mind		0154
"burAqH#&I6"	腹を立てる	腹[はら]を 立[た]てる	to get angry		0154
nf9bp3XsY9	張り切る	張[は]り 切[き]る	to be enthusiastic		0042
A_WkKI[?u!	はるか	はるか	faraway, a long time		0035 0083 0124
I_4tTQNS5L	反～	反[はん]～	anti-, inverse ～		0166
tS8}_jaC2p	半～	半[はん]～	half [short]-		0167
m]C[_(CbJ|	～版	～ 版[ばん]	～ edition [version]		0173
w+cKm;y0@c	範囲	範[はん] 囲[い]	area, range		0083
KZw%D5Jd0/	半永久的	半[はん] 永[えい] 久[きゅう] 的[てき]	semi-permanent		0167
w9mm}li&W|	～番組	～ 番[ばん] 組[ぐみ]	～ programme		0046 0047
frd9:1|vxS	反抗的	反[はん] 抗[こう] 的[てき]	defiant, rebellious		0010 0011
"x55oFiC&:#"	犯罪防止	犯[はん] 罪[ざい] 防[ぼう] 止[し]	crime prevention		0058 0059
"tbt{mEaA!#"	反社会的	反[はん] 社[しゃ] 会[かい] 的[てき]	anti-social		0166
y$|r2B.stD	繁殖	繁[はん] 殖[しょく]	breeding	反.  絶[ぜつ] 滅[めつ]<br>extinction	0070
kmz=*AAQ>t	半世紀	半[はん] 世[せい] 紀[き]	half a century		0167
POK=Pz^&3F	半そで	半[はん]そで	short sleeve		0167
JQ:vC%uLH:	半島	半[はん] 島[とう]	peninsula		0034
dO!w<cLYdr	半透明	半[はん] 透[とう] 明[めい]	translucent		0167
Ac2z/8)*;n	反時計回り	反[はん] 時計[とけい] 回[まわ]り	anti-clockwise		0166
Q8LMN86oDS	犯人	犯[はん] 人[にん]	criminal		0058
"vw+~}OM#GO"	犯人扱い	犯[はん] 人[にん] 扱[あつか]い	treated as a criminal		0161
DgM5UvlqTT	反比例	反[はん] 比[ぴ] 例[れい]	inverse proportion		0166
qsM-Xb8WK&	はんらん	はんらん	flooding		0058
r}w3OqF|{z	非～	非[ひ]～	in-, non-, un-		0166
nZ68_6&lUe	～費	～ 費[ひ]	expenses, costs		0047 0172
krEpj9P/&U	被害	被[ひ] 害[がい]	damage, harm		0058
pPQ>zDmUtg	被害届	被[ひ] 害[がい] 届[とどけ]	damage report		0173
ku]Ol;,T[R	日帰り	日[ひ] 帰[がえ]り	one-day trip	反.  宿[しゅく] 泊[はく]<br>lodging	0030
u?d:%^sbU4	非課税	非[ひ] 課[か] 税[ぜい]	tax [duty] free		0166
owN]n7|X$:	ぴかぴか	ぴかぴか	shiny		0018
da(CGORCsN	引き～	引[ひ]き～	(implies something involving pulling back, hauling, withdrawing, etc.)		0043 0161
K6QZ[vr[*D	引き受ける	引[ひ]き 受[う]ける	to undertake	反.  断[ことわ]る<br>to refuse	0042 0043 0161
Pt.x;1}LP?	引き返す	引[ひ]き 返[かえ]す	to turn back		0113 0161
O[`]IaK^Im	引き算	引[ひ]き 算[ざん]	subtraction		0078
kQl2FwD-^l	引き出す	引[ひ]き 出[だ]す	to pull out, to withdraw		0043 0062 0161
mvE9JNYcE&	引き止める	引[ひ]き 止[と]める	to hold back		0161
JAo0kfu00z	引き取る	引[ひ]き 取[と]る	to pick up		0161
uqJrvEv@tZ	ひきょう	ひきょう	coward		0006
Hj{ZOLWrBS	引き分け	引[ひ]き 分[わ]け	to draw		0026
f<9K;{AWVk	引く	引[ひ]く	to subtract		0078
"zeaH#k:8.U"	ひげ	ひげ	beard		0022
MkoUuEyItH	非公開	非[ひ] 公[こう] 開[かい]	not open to the public		0166
A_6zkmV$)o	非公式	非[ひ] 公[こう] 式[しき]	informal		0166
N5(}UIi0=f	日ごろ	日[ひ]ごろ	usually		0082
q0*bnlJFvU	被災～	被[ひ] 災[さい]～	disaster affected [damaged] ～		0059
c%rhwVEhQ(	被災者	被[ひ] 災[さい] 者[しゃ]	victim		0058 0059
zzJVI,T9mr	被災地	被[ひ] 災[さい] 地[ち]	disaster area		0059
hCbmg=&*l8	日差し	日[ひ] 差[ざ]し	sunlight		0034
QZiq-kC8$]	ビジネス街	ビジネス 街[がい]	business district		0172
t7qq;+c?9s	非常に	非[ひ] 常[じょう]に	extremely		0059
F^1&(0<3fU	ビタミン	ビタミン	vitamin		0078
Q2idTRWveW	引っ～	引[ひ]っ～	(indicates actions involving getting trapped, being pulled, etc.)		0161
jl.sS)fCFr	引っかかる	引[ひ]っかかる	to be stuck, to get caught		0161
hC-V!yj2ls	引っかく	引[ひ]っかく	to scratch		0161
tZf-QdX?Df	引っかける	引[ひ]っかける	to catch		0161
OW,UtPb+Ve	筆記具	筆[ひっ] 記[き] 具[ぐ]	writing instruments		0172
0%-.`q!@l	筆記試験	筆[ひっ] 記[き] 試[し] 験[けん]	written examination		0038
GhISb~2[wk	引っ繰り返す	引[ひっ] 繰[く]り 返[かえ]す	to turn over		0019
D.yJgE~Z0O	引っ込む	引[ひ]っ 込[こ]む	to withdraw		0161
Jf:amJA3zQ	羊	羊[ひつじ]	sheep		0070
AaI3yurWFC	必死	必[ひっ] 死[し]	desperate		0039
h`+>3;*rQa	筆者	筆[ひっ] 者[しゃ]	writer		0026
cpPEkjC-?l	びっしょり	びっしょり	drenched		0142
uyJ{m0?J4w	びっしり	びっしり	tightly packed, full of		0142
G!.Y[hfXB%	ひっそり	ひっそり	still, quiet		0142
DJ2xG*Kib+	ぴったり	ぴったり	exactly		0113
qE8~{^Rv2|	引っ張る	引[ひ]っ 張[ぱ]る	to lead		0161
uzB&6dk&-u	否定	否[ひ] 定[てい]	negation, denial		0113
cjtMNB/dS0	人違い	人[ひと] 違[ちが]い	mistaking one person for another		0161
ov3Ch`1byc	一つおき	一[ひと]つおき	every other		0161
db4-4CcrMB	ひとまず	ひとまず	for now		0039 0125
kbBYMA+?%v	一人暮らし	一人[ひとり] 暮[ぐ]らし	living alone		0058
GLqK_n];45	一人っ子	一人[ひとり]っ 子[こ]	only child		0002
Q~{I2!(k%l	避難	避[ひ] 難[なん]	evacuation		0058
s%KhG3~5wY	皮肉	皮[ひ] 肉[にく]	irony		0010
B>a)z9?8|z	ひねる	ひねる	to twist		0022
v]5z%A8[JA	批判	批[ひ] 判[はん]	criticism		0119
